ID,text,user_name,date,lang,country,sentiment
1249067745787994112,All I can say about the coronavirus pandemic is the ignorant bastards who want to go out in groups against the advi… https://t.co/G4F8PLQeNX,Brilaw6,Sat Apr 11 20:12:11 +0000 2020,en,None,negative
1249067747251752961,@JudgeJeanine @realDonaldTrump @MarshaBlackburn @DanCrenshawTX @HaririRobert A statistic no one is telling you abou… https://t.co/BhaCCstVUS,Derek09329884,Sat Apr 11 20:12:12 +0000 2020,en,None,negative
1249067747587379200,"THE LATEST | COVID-19 The @scdhec reports 8 new deaths, 144 new cases as of Saturday in SC. https://t.co/kxICgMlxC5",FOX46News,Sat Apr 11 20:12:12 +0000 2020,en,None,negative
1249067747520032768,The New York Times Just Published Documents Showing Trump's COVID-19 Response Was Worse Than We Knew… https://t.co/HmrluSF5Or,415holgate,Sat Apr 11 20:12:12 +0000 2020,en,None,negative
1249067751085391872,Coronavirus: How WHO Corruption Helped It Spread https://t.co/TqXwBu9KDG via @YouTube,AnthonyHungTun1,Sat Apr 11 20:12:13 +0000 2020,en,None,negative
1249067751752306691,"@moigovgh It wouldn’t have happen, if coronavirus was absence. That’s not the change we voted for .. we need more than this.",issah46159228,Sat Apr 11 20:12:13 +0000 2020,en,None,negative
1249067754105307142,He will never understand United even now he dividing is most important to Trump that’s the rule of winning.What he… https://t.co/oI3uX0ONOZ,NCicilline,Sat Apr 11 20:12:13 +0000 2020,en,None,negative
1249067755124523009,Crazy. Almost how the constitution meant for it to be.,SadCarolinaFan,Sat Apr 11 20:12:14 +0000 2020,en,None,negative
1249067757527842820,"Recent research,however,suggests that coronavirus patients who are put on ventilators have low rates of survival.""I… https://t.co/a7lxg1iifL",KosaraK,Sat Apr 11 20:12:14 +0000 2020,en,None,negative
1249067758534434816,Trump says Republicans would 'never' be elected again if it was easier to vote.,adriennerourke,Sat Apr 11 20:12:14 +0000 2020,en,None,negative
1249067757670465538,Heard of the @RNLI? Heard of Lifeguards? The Covid-19 lockdown has led to the loss our income. Please see reason an… https://t.co/NveznMCjrk,TristanG95,Sat Apr 11 20:12:14 +0000 2020,en,None,negative
1249067759490740224,"Dr. Nicole Saphier: In coronavirus fight, politicians should stop telling doctors how to treat our patients… https://t.co/T2lMqA5sVz",iElielSepulchro,Sat Apr 11 20:12:15 +0000 2020,en,None,negative
1249067761923428353,"Hospitals have considered a universal do-not-resuscitate order for all COVID-19 patients. #covid19
https://t.co/WpJ4zPuT7r",DRFamilyLaw,Sat Apr 11 20:12:15 +0000 2020,en,None,negative
1249067762288218112,"It’s called federalism, you dolt.",ruithoven,Sat Apr 11 20:12:15 +0000 2020,en,None,negative
1249067762179346433,"@JohnCornyn PLEASE make sure President Trump stands by his guns on this:  Sen. Dianne Feinstein, D-Calif., has urge… https://t.co/nvuFOTj1Kk",jb299,Sat Apr 11 20:12:15 +0000 2020,en,None,negative
1249067766591651843,"I've been the only person out here wearing a mask. ☹️
#socialdistancing #masks #masks4all #germs #virus #covid19… https://t.co/tY4llR5sBs",Atheria,Sat Apr 11 20:12:16 +0000 2020,en,None,negative
1249067767010971648,"2 “professional staff employees” have tested positive for the #coronavirus &amp; are quarantined at home, says… https://t.co/LDYWpQiBHy",henrykleeKTVU,Sat Apr 11 20:12:16 +0000 2020,en,None,negative
1249067770513444865,Precisely the view of Labour right - Labour should cover up on #coronavirus for a Tory government which has condemn… https://t.co/Y9XaUuPcJU,JohnRoss43,Sat Apr 11 20:12:17 +0000 2020,en,None,negative
1249067770723143680,This @WhiteHouse is corrupt https://t.co/E6bJ0r0YeQ,PatricioAuthor2,Sat Apr 11 20:12:17 +0000 2020,en,None,negative
1249067771599691778,"I'm normally a mild-mannered old lady, but Priti Patel can just fuck the fuck off and take her handprints with her",ladygeeke,Sat Apr 11 20:12:17 +0000 2020,en,None,negative
1249067774678368257,I'm gonna start calling Covid-19 the AMERICAN virus now because these damn Americans are stupid as fuck.,IsThatBearick,Sat Apr 11 20:12:18 +0000 2020,en,None,negative
1249067774544097288,"@RandPaul Trump’s lies, incompetence, failures (with the help of the Republican Party &amp; Fox News propaganda) litera… https://t.co/iZWGfbCk02",USABeReady,Sat Apr 11 20:12:18 +0000 2020,en,None,negative
1249067783448494081,"I agree, Trump lies and spreads false info! Just show the parts with the doctors. Don't even bother with Pence!",cbond20464,Sat Apr 11 20:12:20 +0000 2020,en,None,negative
1249067783679176705,"Wow, two days in a row where someone who is usually a complete buffoon has a perfectly reasonable and logical take… https://t.co/GDMcb6n3oq",C117official,Sat Apr 11 20:12:20 +0000 2020,en,None,negative
1249075434366648322,@Adamcoxon2 And what does it have to go with coronavirus???? That article is from 2016!!!,juanpe_r,Sat Apr 11 20:42:44 +0000 2020,en,None,negative
1249075437629816834,"U.S. Now Has The Most Coronavirus Deaths, Surpassing Italy!

https://t.co/nWog7VmvtT",trapholizaynews,Sat Apr 11 20:42:45 +0000 2020,en,None,negative
1249075437663326208,@wcassias @nextstrain I am Czech. What kind of translation review are you looking for? If it can be done by a softw… https://t.co/Vk57YlNV2t,romanstrobl,Sat Apr 11 20:42:45 +0000 2020,en,None,negative
1249075438120550402,Coronavirus live news: US overtakes Italy as country with world's highest death toll https://t.co/XBV6oyVDrv,pedro_corbett,Sat Apr 11 20:42:45 +0000 2020,en,None,negative
1249075438531608579,"@HenryFlyOpen @David_Leavitt Please comment on Nancy Pelosi, and the New York government on the response to the cor… https://t.co/CfChnlZAkx",Brandon67798072,Sat Apr 11 20:42:45 +0000 2020,en,None,negative
1249075442100961280,"#realDonaldTrump #TestingForCovid19
#TrumpLiesPeopleDie 
#TrumpBurialPits
#WorstPresidentInHistory… https://t.co/9XffmV1ngQ",Listen2Me99,Sat Apr 11 20:42:46 +0000 2020,en,None,negative
1249075443086569473,"“It’s misleading to focus on wet markets when we discuss the outbreak. It overshadows the true problem here, which… https://t.co/AjvvhsKUtE",TheBalladmonger,Sat Apr 11 20:42:46 +0000 2020,en,None,negative
1249075446026842113,No one’s vote should be lost in the mail and uncounted. Make the voting process safe by enacting Voter ID.,CoA24thMassInf,Sat Apr 11 20:42:47 +0000 2020,en,None,negative
1249075446207168515,"COVID-19 conspiracy theories: Twisted effort to bring order to chaos
https://t.co/Tm6WwpMTT0  So people like you re… https://t.co/Br27vTuGFT",jtksandstormer,Sat Apr 11 20:42:47 +0000 2020,en,None,negative
1249075447171776515,After they've gone out and infected many.,alagbah_,Sat Apr 11 20:42:47 +0000 2020,en,None,negative
