tweet_id,user,text,created at,location,sentiment
1247616207320162304,dgtlchrch,SCRIPTURE MAKES SENSE NOW - This is the second clip from episode 1 of a conversation between @darrenr &amp; Francis Chan regarding our current crisis of the coronavirus. Watch the full clip on our IGTV! https://t.co/mrrOVfpNEZ,2020-04-07 20:04:18,,neutral
1247616208012218375,DanWuori,"""The financial realities for #childcare businesses and non-profits are stark, even for those open serving children of essential workers. Bills for food suppliers, insurance, landlords and most importantly, the wages of working staff do not stop."" https://t.co/J8mlEqi54Y",2020-04-07 20:04:18,,neutral
1247616208104558592,chaunceydevega,"Mind control expert Steven Hassan explains the power of Donald Trump's #coronavirus death cult and why his supporters are willing to sacrifice their lives for him. My new @Salon

https://t.co/Cjj2VyQZ3S",2020-04-07 20:04:18,,negative
1247616208838578176,ZaynabKAhmed,"I miss the feminist makeup group chat, I wonder how they’re all doing in this quarantine 😔",2020-04-07 20:04:18,,neutral
1247616208742092807,minsterfm,NATIONAL NEWS: Coronavirus: What do the figures tell us about Boris Johnson's chances of a full recovery? https://t.co/RJtS331CaE,2020-04-07 20:04:18,,neutral
1247616203830542337,jayindigostar14,Norway announces it has 'brought coronavirus under control' https://t.co/7DyF0tVXBI via @MailOnline,2020-04-07 20:04:17,,positive
1247616204749058053,qwerty14117587,"Trump replaces Pentagon IG, removing him from coronavirus relief oversight panel https://t.co/S5Gxi2yPuE",2020-04-07 20:04:17,,neutral
1247616209102782465,andreap19ap,Coronavirus Everyone has a right to live. What about those. incarceration.,2020-04-07 20:04:18,United States,negative
1247616209673166848,harryalba,I can only imagine how much a vaccine would cost if this person has anything to do with it...Martin Shkreli Pleads for 3-Month Prison Furlough to Help COVID-19 R&amp;D Efforts https://t.co/U4iMPwOJqR #COVID19 #coronavirus,2020-04-07 20:04:18,,neutral
1247616210432176128,bryanlanning,We tell you how to safely vacation during quarantine! 👏😂 https://t.co/ih4GP9hiQ8,2020-04-07 20:04:18,,positive
1247616210465742848,feline_cannon,"55% of COVID deaths in NY are associated with hypertension and 37% are associated with diabetes. Both diseases correlate with over-expression of the coronavirus’s target protein ACE2 (indirectly through medication with former).

https://t.co/l1cVp9B2tp

https://t.co/mCzyoM3c8w",2020-04-07 20:04:18,,neutral
1247616210730188801,HInnov8,"Top story: Trump removes independent watchdog tasked with overseeing coronavirus emergency funds  - CNNPolitics https://t.co/cAJNYiUZZw, see more https://t.co/LIgeVMr7aW",2020-04-07 20:04:18,,neutral
1247616214290984960,bonniebear09,This quarantine made me realize I could NEVER go to jail. I wasn’t made for this life I need to be free like a mf butterfly or whateva,2020-04-07 20:04:19,,neutral
1247616213544505344,VotingMomIL,"To all the healthcare workers on the front lines of the Covid-19 crisis (including my favorite #GVP champ pictured here) working day and night to protect public health &amp; safety, this Illinois
@MomsDemand volunteer says THANK YOU! @Everytown #NPHW https://t.co/9qA6Fj1WVx",2020-04-07 20:04:19,,positive
1247616214697984010,MeisterG_,How can Mufti wanna go live when same time as Quarantine Radio 😭😂,2020-04-07 20:04:19,,neutral
1247616214853193729,najeebarqureshi,"A #zoo has been #trying to get two #Pandas to #Mate for 10 #years. When #coronavirus shut the #zoo down, the #Pandas #finally did https://t.co/0c0OlBLCSW via @CNNTravel",2020-04-07 20:04:19,,neutral
1247616214769086465,jack,"I’m moving $1B of my Square equity (~28% of my wealth) to #startsmall LLC to fund global COVID-19 relief. After we disarm this pandemic, the focus will shift to girl’s health and education, and UBI. It will operate transparently, all flows tracked here: https://t.co/hVkUczDQmz",2020-04-07 20:04:19,,positive
1247616214945284098,mike_f_hancock,COVID-19 has brought up a lot of questions from new and current clients; how do you meet with clients? how will this affect my case? How do I get medical treatment? At Hancock Injury Attorney our mission is still to… https://t.co/ClyHHOIIx6,2020-04-07 20:04:19,,neutral
1247616218376417280,comradeporkchop,really regretting not dating before quarantine and having another person with us smh,2020-04-07 20:04:20,,negative
1247616218548310017,cwuEastern__No5,Warrington Royal Mail staff walk out as worker tests positive for coronavirus | Warrington Guardian https://t.co/9Pyl8xsH1O,2020-04-07 20:04:20,,negative
1247616218472673280,dj7u,"@realDonaldTrump @GavinNewsom 

Experts say keep high risk at home &amp; release them as they get antibodies: 

https://t.co/a8fWSdqFZN

@DrOz @drdrew @JoeNBC @morningmika @TuckerCarlson @seanhannity @IngrahamAngle",2020-04-07 20:04:20,,negative
1247616218917453825,ActingTheGom,I've lost 1kg in the last 40days but developed a little #Quarantine belly.,2020-04-07 20:04:20,,neutral
1247616217189400578,SexWithEmily,"NEW PODCAST –

A lot (&amp; I mean…a lot) of you have been asking me about dating in the time of Coronavirus. It's actually a great opportunity to get to know people before getting physical.

@AmyNobile is going to help you get there 😉

Full episode here: https://t.co/yuODZoOxdP 💋 https://t.co/MTKteVkBvh",2020-04-07 20:04:20,,neutral
1247616219294961667,RWDSU,"“Our union members are heros. They are feeding America during the COVID-19 pandemic, and they need to be protected.""

Poultry plant workers are being forced into close proximity w/o sufficient protective equipment. Read more on our site: https://t.co/yTry2XCOJl @sappelbaum @ufcw",2020-04-07 20:04:20,,negative
1247616219605274625,makarellablog,"GistTube9ja: USA records 1,150 COVID-19 deaths in 24 hours – Jo... https://t.co/elvbYJnl2u",2020-04-07 20:04:20,,negative
1247616219685040129,latenighton,Is anyone else super tired during quarantine or is this just my lack of seratonin speaking - I’m even going on like a 40 minute walk everyday but still super tired by like 8pm  and I’m sleeping a lot,2020-04-07 20:04:21,,neutral
1247616219588460547,icjtv24,"No new case of coronavirus COVID-19 case found in Sector 8 of Noida, says District Magistrate | Uttar Pradesh News https://t.co/iau5N3b2G9 https://t.co/jbtTDbxMmY",2020-04-07 20:04:20,,neutral
1247616222625173504,chocmilkhoney,LOOOOOOL Tory has bottle girls on quarantine radio,2020-04-07 20:04:21,,neutral
1247616222843330566,MocoKosso,@torylanez got bottle girls now on Quarantine radio 🔥🔥😂,2020-04-07 20:04:21,,neutral
1247616222688096261,DegreesofHealth,"Psychology professor Sayward Harrison offers advice for building resiliency in the time of the coronavirus pandemic. ""...we can have a unique opportunity to chart new courses as individuals and as a whole."" https://t.co/x7YxpNfSTe https://t.co/3QVzUCx0vO",2020-04-07 20:04:21,,positive
1247616226425278466,TheAlyxChicago,"I just deleted all tweets &gt;1 month old, for our world now is different than it was then.

And when we are out of quarantine, I will delete *these* tweets and start fresh yet again.

We are living chapter by chapter, day by day, &amp; I feel that this makes sense. ♡ https://t.co/tHChm5Es62",2020-04-07 20:04:22,,neutral
1247616226756628485,gergerlioglueng,"1) A saddening news!
There are plenty of people out there whose lives have been ruined.
I hope the parliament will not stay silent to this. 
“Ozgur Dogan, married and a father of 3 children,++

Eşitİnfaz Yaşatır

#DontTurnPrisonsIntoGraveyard
#CoronaVirus #CoronaPandemic #COVID19 https://t.co/elJ58GNuVP",2020-04-07 20:04:22,,negative
1247616227087876104,EdwardsOhio,"Keep it up, Ohio. It does appear that we’re flattening the curve. https://t.co/gdCOzimCOL https://t.co/g7CWNvwMLT",2020-04-07 20:04:22,,positive
1247616227201159168,Sarah3Martin,I’ve been sharing virtual videos like this while in quarantine with students. #iowamath https://t.co/r3e3iIKeTk,2020-04-07 20:04:22,,neutral
1247616228673257472,markhyena,COVID-19 https://t.co/2g41l6vsrU,2020-04-07 20:04:23,,neutral
1247616230242074624,Kingme212,Here is my 2 of like 3 pics that I'll probably post of myself this year. Lol. Don't do it often. Thank the quarantine... https://t.co/uCT2Fy7zix,2020-04-07 20:04:23,,neutral
1247616231105953793,Berniewouldawon,Is China releasing accurate coronavirus numbers?,2020-04-07 20:04:23,,neutral
1247616231487803393,BOAW_shotsfired,"People won’t start taking COVID-19 seriously until someone they know has it. Sad, but true. Smh.",2020-04-07 20:04:23,,negative
1247616231617843205,brooks9675309,"So if you die for any reason, was Coronavirus the cause of death?
Are tests done to confirm?

Or, is there $ attached to this pandemic that appears in proportion to the # of coronavirus deaths?",2020-04-07 20:04:23,,negative
1247616231995310086,lucietellier175,"Top story: Senior heart surgeon at Cardiff hospital dies from coronavirus | World news | The Guardian https://t.co/6t2KYMUIRC, see more https://t.co/aQbkJdLFh7",2020-04-07 20:04:23,,negative
1247616232158871555,cmcuffman,More Americans have now died of COVID-19 than died in the 2009 H1N1 Swine Flu Pandemic.,2020-04-07 20:04:23,,negative
1247616232167219201,D_Faria,"Study: UK will have highest coronavirus death toll in Europe

https://t.co/Fi0gVfI5u6

Sent via @updayUK",2020-04-07 20:04:23,,negative
1247616232439848963,SingleMAhoy,Entire evening spent writing clues for a birthday treasure hunt. S is always asking me to do a treasure hunt &amp; I never have time... On Thursday she's getting the mother of all treasure hunts. In your face covid-19 - you can't spoil S's birthday fun!,2020-04-07 20:04:24,United Kingdom,positive
1247616232540561409,ianmbunde,Quarantine radio is already on 120k viewers,2020-04-07 20:04:24,,neutral
1247616232603385865,_unvRICH,due to this Rona i’ve decided that from now own i’m about to pop out real fine everywhere i go..this whole quarantine shit made me realize i can’t be taking the opportunity to be cute for granted anymore 😭 i’m about to become the overdressed friend lol,2020-04-07 20:04:24,,negative
1247616235036016640,StuNewsLaguna,Council to discuss financial impact of COVID-19 and possible solutions. https://t.co/ExQ9TgHHTT,2020-04-07 20:04:24,United States,neutral
1247616235757547521,sammmyak7,Tory went from like 2m followers to 7m since he started quarantine radio 😭,2020-04-07 20:04:24,,neutral
1247616236399276034,Brenda78052965,"Rand Paul recovers from coronavirus, tests negative

https://t.co/Optlze4b6b",2020-04-07 20:04:25,,positive
1247616236575391749,medicalbook1,Where to Find Free Entertainment During the Coronavirus Shutdown https://t.co/ihNxKwLlqA,2020-04-07 20:04:25,,neutral
1247616237292716035,aldoceccarelli,⁦@RiccardoLuna 👏⁩ #WhatsApp is limiting message forwarding to combat #coronavirus #misinformation https://t.co/2qEgaUbG1C #fakenews #taskforce,2020-04-07 20:04:25,,positive
1247616237095587840,gobradiouk,Coronavirus UK: Chris Whitty admits mass testing came too late https://t.co/gnRJwIMsQr https://t.co/pfFC6zTPJM,2020-04-07 20:04:25,,negative
1247616239280828418,Kristin_Byrne,"Allstate, American Family Insurance, Liberty Mutual to return millions in auto premiums as drivers hit the road less during coronavirus https://t.co/QXzhNDqUHT",2020-04-07 20:04:25,,positive
1247616239708581893,lexloafin,Going to pause snowfall for quarantine radio,2020-04-07 20:04:25,,neutral
1247616239691862023,Chijjim,Quarantine day 13.. a break from the monotony..... an asthma attack.. cool.,2020-04-07 20:04:25,,neutral
1247616239846985729,strangersniall,@juliamichaels @jpsaxe #itwwejpandjulia first thing you’ll do after quarantine is over?,2020-04-07 20:04:25,,neutral
1247616240132272130,billboard,".@JLo chatted how quarantine is affecting her wedding plans, her new show #ThanksAMillion &amp; more https://t.co/3mMiY5emns",2020-04-07 20:04:25,,neutral
1247616240086106112,acerbo_livio,Why Does Covid-19 Make Some People So Sick? Ask Their DNA https://t.co/iEeDe8HoFS,2020-04-07 20:04:25,,neutral
1247616240375521287,landryst,"#HigherEd Presidents Expect Layoffs, Admissions Trouble - @madelinestamour

https://t.co/7lVJHMUrN4 #economy #coronavirus #COVID19

""About 70 pct of presidents expect to see revenue decline by at least 10 pct, with presidents of small institutions expecting a larger hit.""",2020-04-07 20:04:25,,negative
