1253444747278024706,Sanchezmendieta,Vea la actualización de las cifras sobre los casos de coronavirus o Covid19 en Ecuador 👇 https://t.co/UUTEg0aMGN https://t.co/yrWhKkwFhn,2020-04-23 22:04:50,Ecuador
1253444838395125767,FURIAZUL1,Confirman que Covid-19 estaba en EE.UU. antes de febrero|Noticias|teleSUR https://t.co/xIRmlTlqxF,2020-04-23 22:05:12,Ecuador
1253444970834530306,rogerdario1,"ITALIA DESCUBRE LA VERDAD Y EL VERDADERO  TRATAMIENTO DEL COVID-19-
SEGÚN INFORMÓ FERNANDO HÉCTOR PETRONI.
ANATOMOPATÓLOGOS EN BIOPSIAS DE FALLECIDOS DESCUBREN LA VERDADERA CAUSA DE LA MUERTE: TROMBOSIS ( TROMBOS Y NO CORONAVIRUS)  DISEMINADA
QUÉ TAL?
Y LA OMS?
Y CHINA? OJO-VIDEO https://t.co/uzpl0kKSdz",2020-04-23 22:05:43,Venezuela
1253445096432898048,cancerbero_real,"El nombre de López Obrador aparece en los créditos de 25,000 pesos por emergencia de coronavirus https://t.co/kGTdp4ZKSG",2020-04-23 22:06:13,México
1253445104498610176,Panamaimage1,"ONU destaca liderazgo del presidente panameño en lucha regional contra el COVID-19

Tras reconocer la eficaz coordinación que existe entre los mecanismos nacionales emergentes y el sistema de las Naciones Unidas en… https://t.co/LVIcwG9CBa",2020-04-23 22:06:15,Panamá
1253445245561376772,DrAlexisTejedor,El mundo nos mira. Al Rojo Vivo @MariaCeleste reporta sobre ROSA para contener el CoViD-19 https://t.co/GqbjKTCVN8,2020-04-23 22:06:49,Panamá
1253445537954750465,pedro_crd,"En Chubut solo hay dos casos de coronavirus pero no flexibilizan el aislamiento porque como el peronismo hizo mierda la provincia y los estatales no cobran sus sueldos, en cuanto se levante, vuelven los paros, cortes de calles, manifestaciones. Viva Perón.",2020-04-23 22:07:58,Argentina
1253445581164302336,EconomiaSonora,"Alibaba Business School impartió el taller ""Sobreviviendo al Covid-19 con transformación digital para pymes”  a través de Facebook Live, “. @AndresDBedolla.
👩🏽‍💻👨🏽‍💻
https://t.co/ZdHaS4WfhJ

#QuédateEnCasaObligatorio
#TodosJalamos https://t.co/pCAY0NJDjH",2020-04-23 22:08:09,México
1253445620607614983,pliriasan,Coronavirus en Colombia: Leticia registra su primera muerte y hay 205 nuevos contagios https://t.co/CvEvFSU5Fv vía @NoticiasCaracol,2020-04-23 22:08:18,Colombia
1253445622931361796,moni_donoso,"Después de tantos días en esto mismo, cómo Ie dicen ustedes? Coronavirus, Covid-19, corona, el virus , pandemia, la enfermedad, bicho maldito y la CTM, los leo.",2020-04-23 22:08:19,Chile
