word,probSpam,probHam
amore,0.0,0.0002767017155506364
available,0.0035398230088495575,0.0035971223021582736
buffet,0.0,0.0005534034311012728
bugis,0.0,0.0016602102933038186
cine,0.0,0.001936912008854455
crazy,0.0035398230088495575,0.002213613724405091
got,0.005309734513274336,0.045932484781405644
great,0.008849557522123894,0.01992252351964582
jurong,0.0,0.0002767017155506364
la,0.0,0.001383508577753182
point,0.0,0.0030437188710570003
wat,0.0,0.021306032097399005
world,0.0017699115044247787,0.007194244604316547
joking,0.0,0.0005534034311012728
lar,0.0,0.008024349750968456
ok,0.007079646017699115,0.061427780852241286
oni,0.0,0.0008301051466519093
wif,0.0,0.004980630879911455
08452810075over18,0.0035398230088495575,0.0
2005,0.005309734513274336,0.0
21st,0.0035398230088495575,0.0002767017155506364
87121,0.005309734513274336,0.0
apply,0.04070796460176991,0.0005534034311012728
comp,0.012389380530973451,0.0002767017155506364
cup,0.008849557522123894,0.0008301051466519093
entry,0.03008849557522124,0.0
fa,0.0035398230088495575,0.0
final,0.024778761061946902,0.0005534034311012728
free,0.23185840707964603,0.011898173768677366
question,0.007079646017699115,0.00387382401770891
rate,0.04247787610619469,0.0005534034311012728
receive,0.03893805309734513,0.001383508577753182
std,0.01592920353982301,0.0
text,0.1415929203539823,0.014388489208633094
tkts,0.007079646017699115,0.0
txt,0.215929203539823,0.002213613724405091
win,0.09026548672566372,0.0016602102933038186
wkly,0.01592920353982301,0.0
dun,0.0,0.00996126175982291
early,0.0,0.007470946319867183
hor,0.0,0.0002767017155506364
say,0.0017699115044247787,0.019092418372993913
don,0.008849557522123894,0.029883785279468732
goes,0.0,0.006087437742114001
lives,0.0,0.0008301051466519093
nah,0.0,0.0024903154399557276
think,0.0035398230088495575,0.026563364692861097
usf,0.0,0.0016602102933038186
50,0.06725663716814159,0.001383508577753182
chgs,0.0017699115044247787,0.0
darling,0.0035398230088495575,0.0005534034311012728
freemsg,0.019469026548672566,0.0
fun,0.01415929203539823,0.00387382401770891
hey,0.008849557522123894,0.02075262866629773
like,0.01592920353982301,0.04648588821250692
rcv,0.0035398230088495575,0.0
send,0.0920353982300885,0.02684006640841173
tb,0.0017699115044247787,0.0005534034311012728
week,0.07256637168141593,0.010514665190924184
word,0.035398230088495575,0.0030437188710570003
xxx,0.019469026548672566,0.004703929164360819
aids,0.0,0.0002767017155506364
brother,0.0017699115044247787,0.0030437188710570003
patent,0.0,0.0002767017155506364
speak,0.01415929203539823,0.005534034311012728
treat,0.0,0.00387382401770891
callers,0.0,0.001383508577753182
callertune,0.0,0.001383508577753182
copy,0.0,0.001936912008854455
friends,0.007079646017699115,0.00996126175982291
melle,0.0,0.0008301051466519093
minnaminunginte,0.0,0.0008301051466519093
nurungu,0.0,0.0008301051466519093
oru,0.0,0.0011068068622025456
press,0.0017699115044247787,0.002767017155506364
request,0.0017699115044247787,0.0016602102933038186
set,0.0017699115044247787,0.004150525733259546
vettam,0.0,0.0008301051466519093
09061701461,0.0017699115044247787,0.0
12,0.005309734513274336,0.0011068068622025456
900,0.008849557522123894,0.0005534034311012728
claim,0.1486725663716814,0.0
code,0.033628318584070796,0.0002767017155506364
customer,0.06725663716814159,0.001936912008854455
hours,0.0035398230088495575,0.0035971223021582736
kl341,0.0017699115044247787,0.0
network,0.03185840707964602,0.0011068068622025456
prize,0.11858407079646018,0.0
receivea,0.0017699115044247787,0.0
reward,0.005309734513274336,0.0
selected,0.033628318584070796,0.0008301051466519093
valid,0.03008849557522124,0.0
valued,0.01415929203539823,0.0005534034311012728
winner,0.023008849557522124,0.0
08002986030,0.0035398230088495575,0.0
11,0.010619469026548672,0.001383508577753182
camera,0.04070796460176991,0.0005534034311012728
colour,0.019469026548672566,0.0008301051466519093
entitled,0.007079646017699115,0.0
latest,0.03893805309734513,0.0008301051466519093
mobile,0.1415929203539823,0.0024903154399557276
mobiles,0.01592920353982301,0.0
months,0.005309734513274336,0.0016602102933038186
update,0.01592920353982301,0.0005534034311012728
anymore,0.0,0.002213613724405091
cried,0.0,0.0002767017155506364
gonna,0.0,0.011068068622025456
home,0.0035398230088495575,0.03237410071942446
soon,0.0035398230088495575,0.011344770337576093
stuff,0.0017699115044247787,0.006640841173215274
talk,0.0035398230088495575,0.00857775318206973
today,0.02654867256637168,0.02850027670171555
tonight,0.0035398230088495575,0.009407858328721638
ve,0.017699115044247787,0.017432208079690092
want,0.033628318584070796,0.03182069728832319
000,0.03893805309734513,0.0
100,0.05309734513274336,0.0
150p,0.10088495575221239,0.0
16,0.0743362831858407,0.0002767017155506364
20,0.010619469026548672,0.001383508577753182
6days,0.0035398230088495575,0.0
87575,0.005309734513274336,0.0
cash,0.08849557522123894,0.002213613724405091
chances,0.0035398230088495575,0.0
cost,0.04601769911504425,0.002767017155506364
csh11,0.0035398230088495575,0.0
day,0.024778761061946902,0.04012174875484228
hl,0.008849557522123894,0.0
info,0.017699115044247787,0.0002767017155506364
pounds,0.021238938053097345,0.0002767017155506364
reply,0.12743362831858407,0.009407858328721638
tsandcs,0.0035398230088495575,0.0
4403ldnw1a7rw18,0.0017699115044247787,0.0
81010,0.0017699115044247787,0.0
dbuk,0.0017699115044247787,0.0
jackpot,0.0017699115044247787,0.0
lccltd,0.0017699115044247787,0.0
membership,0.0017699115044247787,0.0002767017155506364
net,0.021238938053097345,0.001936912008854455
pobox,0.021238938053097345,0.0
urgent,0.07964601769911504,0.0016602102933038186
won,0.10265486725663717,0.004150525733259546
www,0.11327433628318584,0.0002767017155506364
blessing,0.0,0.0005534034311012728
breather,0.0,0.0002767017155506364
fulfil,0.0,0.0002767017155506364
granted,0.0,0.0002767017155506364
help,0.02831858407079646,0.007194244604316547
promise,0.0,0.001936912008854455
right,0.0035398230088495575,0.018815716657443277
searching,0.0,0.0011068068622025456
thank,0.0017699115044247787,0.006640841173215274
times,0.0,0.005257332595462092
wonderful,0.0,0.0030437188710570003
wont,0.0,0.007194244604316547
words,0.0,0.004427227448810182
date,0.012389380530973451,0.002213613724405091
sunday,0.0,0.0024903154399557276
click,0.005309734513274336,0.0002767017155506364
com,0.06725663716814159,0.0035971223021582736
credit,0.01415929203539823,0.0011068068622025456
http,0.02654867256637168,0.0
link,0.007079646017699115,0.0005534034311012728
message,0.03893805309734513,0.014111787493082457
qjkgighjjgcbl,0.0017699115044247787,0.0
use,0.010619469026548672,0.007194244604316547
wap,0.012389380530973451,0.0
xxxmobilemovieclub,0.0017699115044247787,0.0
oh,0.0017699115044247787,0.02075262866629773
watching,0.0,0.006640841173215274
did,0.0035398230088495575,0.024349750968456003
eh,0.0,0.002767017155506364
make,0.01592920353982301,0.01715550636413946
naughty,0.0,0.001383508577753182
remember,0.0,0.007470946319867183
spell,0.0,0.0008301051466519093
wet,0.0035398230088495575,0.0008301051466519093
yes,0.019469026548672566,0.017432208079690092
feel,0.0,0.01383508577753182
fine,0.0,0.00996126175982291
gota,0.0,0.0002767017155506364
way,0.0017699115044247787,0.01992252351964582
4txt,0.0035398230088495575,0.0
87077,0.008849557522123894,0.0
dont,0.017699115044247787,0.02684006640841173
england,0.007079646017699115,0.0
goals,0.0035398230088495575,0.0
macedonia,0.0017699115044247787,0.0
miss,0.012389380530973451,0.015218594355285003
national,0.033628318584070796,0.0
news,0.01415929203539823,0.001936912008854455
poboxox36504w45wq,0.0017699115044247787,0.0
scotland,0.0017699115044247787,0.0005534034311012728
team,0.005309734513274336,0.0008301051466519093
try,0.010619469026548672,0.008854454897620365
ur,0.15575221238938053,0.039568345323741004
wales,0.0017699115044247787,0.0005534034311012728
ú1,0.0017699115044247787,0.0
seriously,0.0,0.001936912008854455
going,0.007079646017699115,0.03597122302158273
ha,0.0,0.002213613724405091
comin,0.0,0.002767017155506364
da,0.0,0.025733259546209187
pay,0.0017699115044247787,0.007194244604316547
stock,0.0,0.0011068068622025456
aft,0.0,0.004427227448810182
ard,0.0,0.004427227448810182
finish,0.0,0.00774764803541782
lor,0.0,0.03099059214167128
lunch,0.0,0.007470946319867183
smth,0.0,0.002213613724405091
str,0.0017699115044247787,0.0008301051466519093
alright,0.0,0.005257332595462092
ffffffffff,0.0,0.0002767017155506364
meet,0.01415929203539823,0.01549529607083564
sooner,0.0,0.0008301051466519093
eat,0.0,0.00774764803541782
forced,0.0,0.0002767017155506364
getting,0.007079646017699115,0.010237963475373547
hungry,0.0017699115044247787,0.0024903154399557276
just,0.11327433628318584,0.05866076369673492
knows,0.0017699115044247787,0.0024903154399557276
lol,0.0,0.01632540121748755
mark,0.0,0.0011068068622025456
pizza,0.0,0.0016602102933038186
really,0.0017699115044247787,0.016602102933038185
sick,0.0,0.0024903154399557276
slice,0.0,0.0005534034311012728
sucks,0.0,0.0011068068622025456
tho,0.0,0.003320420586607637
turn,0.0,0.0008301051466519093
worried,0.0,0.0024903154399557276
convincing,0.0,0.0005534034311012728
bus,0.0,0.005257332595462092
catch,0.0,0.002213613724405091
dinner,0.0,0.0063641394576646375
eating,0.0,0.001936912008854455
egg,0.0,0.0005534034311012728
frying,0.0,0.0005534034311012728
left,0.0,0.0063641394576646375
love,0.01415929203539823,0.037354731599335916
mom,0.0,0.0030437188710570003
tea,0.0,0.0011068068622025456
